emoji,pos_count,neg_count,neutral_count
🇲,0,2,0
🇾,0,2,0
😧,0,149,0
😔,0,31,0
😊,0,130,1
😆,0,15,1
😅,0,13,6
🖥,0,4,8
🙌,0,5,10
😁,0,0,11
💻,0,13,12
💕,0,1,1
🤷,0,6,13
🏻,0,4,19
💰,0,3,1
🇨,0,0,3
🇳,0,0,4
🇺,0,6,21
🇸,0,3,5
🇦,0,2,15
🤗,0,1,4
🤸,0,2,0
👋,0,2,4
🤝,0,2,8
🍎,0,0,5
🥇,0,0,2
🥈,0,0,2
🥉,0,0,2
👉,0,1,16
✅,0,2,10
😮,0,1,5
💌,0,0,1
🍀,0,0,3
👍,0,7,11
🤟,0,1,2
🤳,0,0,1
𝗶,0,4,0
𝟳,0,1,0
𝟭,0,3,0
𝟮,0,2,0
𝘁,0,2,0
𝗵,0,4,0
𝗚,0,3,0
𝗲,0,2,0
𝗻,0,3,0
𝟱,0,1,0
𝘀,0,4,0
𝗼,0,3,0
𝘄,0,1,0
𝗳,0,2,0
𝘇,0,1,0
𝗥,0,1,0
𝗕,0,1,0
𝗰,0,1,0
𝗮,0,1,0
𝗹,0,1,0
𝗴,0,2,0
🤭,0,0,2
🤦,0,11,29
🚶,0,1,0
🥊,0,0,1
😂,0,22,47
✨,0,2,7
🌸,0,1,0
😓,0,1,1
🙂,0,6,8
⬇,0,0,2
️,0,25,103
🥺,0,14,12
👇,0,9,10
😄,0,21,2
🇪,0,2,1
😡,0,4,24
☹,0,0,1
🌐,0,1,3
☝,0,0,1
🤔,0,18,7
🫡,0,0,2
😍,0,10,7
👩,0,0,2
👨,0,0,3
🏼,0,12,12
🧑,0,0,2
🏽,0,2,4
🎓,0,0,1
🔥,0,5,25
🤑,0,0,3
💪,0,5,3
🤠,0,1,2
🤣,0,48,29
🙉,0,0,1
😏,0,0,4
📣,0,0,7
🤛,0,0,1
👏,0,10,18
🙃,0,2,6
📸,0,0,1
🦋,0,0,1
💀,0,3,5
🥴,0,10,9
😌,0,0,2
❤,0,7,25
🤩,0,1,13
🤨,0,2,3
😩,0,3,3
♂,0,3,6
📢,0,0,2
🎤,0,0,1
🌟,0,3,2
💯,0,4,4
🤲,0,1,0
🙏,0,7,11
😭,0,18,32
👀,0,5,10
🖱,0,2,1
😎,0,8,6
🏾,0,4,5
🎉,0,3,4
👽,0,3,2
😉,0,2,9
⭐,0,0,10
🙄,0,8,6
🤪,0,1,5
🥰,0,6,6
🍻,0,1,1
🛐,0,1,0
🦁,0,0,3
🤬,0,22,15
🤯,0,6,0
🦾,0,2,2
😇,0,0,3
💙,0,5,7
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,1,5
☺,0,4,0
🚀,0,4,15
🙈,0,0,1
📈,0,0,3
🥲,0,0,5
🥵,0,0,3
😈,0,0,1
🔷,0,0,1
💡,0,0,3
😜,0,3,3
🥳,0,6,6
🦊,0,1,1
🖤,0,2,0
💅,0,1,2
😠,0,0,3
🧀,0,0,1
🐝,0,0,1
💎,0,1,0
🥹,0,0,2
➡,0,1,12
🎙,0,0,1
♀,0,0,7
🚨,0,1,11
☠,0,3,0
☕,0,0,2
💜,0,0,5
𝐃,0,1,0
𝐞,0,8,1
𝐥,0,7,0
𝐓,0,2,0
𝐡,0,1,0
𝐁,0,1,0
𝐬,0,4,0
𝐭,0,5,0
𝐏,0,1,0
𝐫,0,3,1
𝐟,0,2,0
𝐨,0,8,2
𝐦,0,1,0
𝐢,0,3,0
𝐧,0,3,1
𝐠,0,1,0
𝐍,0,1,0
𝐛,0,2,0
𝐤,0,1,0
𝟐,0,2,0
𝟎,0,1,0
𝟏,0,1,0
🦉,0,1,0
🤓,0,1,4
🔗,0,0,5
⚠,0,0,2
😬,0,2,1
😫,0,1,0
📩,0,1,1
🔬,0,0,1
💚,0,0,2
🧡,0,0,2
💛,0,0,3
⛈,0,1,0
⚔,0,1,0
😘,0,3,0
🤤,0,1,3
🎧,0,1,0
🚗,0,1,0
🤌,0,0,2
🤮,0,4,2
👬,0,0,1
🎮,0,0,1
😲,0,1,0
♥,0,2,2
💔,0,1,0
😛,0,2,1
😑,0,0,3
🧠,0,1,1
📴,0,0,1
🏆,0,1,7
🐠,0,1,0
🌍,0,1,1
❌,0,0,1
😢,0,0,2
😱,0,0,1
💃,0,1,0
🎊,0,2,0
⤵,0,0,2
💸,0,1,3
🤙,0,1,2
🪶,0,0,1
👑,0,0,3
🇮,0,0,3
🤢,0,1,4
🤞,0,2,3
👻,0,0,3
😶,0,0,1
👁,0,0,2
👄,0,0,1
📌,0,0,1
🌖,0,0,1
🧵,0,0,4
🔌,0,1,1
😒,0,5,3
💭,0,0,1
▫,0,0,6
🪑,0,0,1
😻,0,0,1
📷,0,0,1
🌳,0,1,0
😐,0,0,2
👈,0,0,1
🤘,0,1,0
🐧,0,1,0
💖,0,0,1
💾,0,0,1
🌉,0,1,0
🇰,0,2,0
🇷,0,1,1
🗨,0,0,2
💬,0,0,2
♻,0,0,1
🧙,0,0,2
🤧,0,0,1
🙋,0,0,1
🧢,0,0,1
🔹,0,0,3
🤐,0,0,2
🪬,0,1,0
🌀,0,1,0
📺,0,1,0
😳,0,0,2
😦,0,1,0
🍖,0,1,0
🐶,0,1,0
👎,0,1,0
🥁,0,1,0
😟,0,0,1
😕,0,0,1
🫤,0,0,1
✌,0,0,2
🤡,0,0,7
💤,0,0,1
👧,0,4,0
✋,0,1,0
💫,0,0,2
☀,0,3,3
🦅,0,1,0
😰,0,0,1
😖,0,1,0
▶,0,1,1
🚫,0,0,1
𝐀,0,1,0
𝐯,0,1,0
𝐚,0,4,0
